part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt,part,incorrect_attempt
1,{9},2,,3,"{1,2,9}",4,"{1,3,6,9}",5,"{1,2,3,6,9}",6,"{4,5,7,8}",7,,8,
1,"{0, 7, 9}",2,"{1, 2, 9}",3,"{2, 3, 4, 6}",4,"{0, 1, 2, 9}",5,"{0, 1, 2, 3, 4, 6, 9}",6,"{5, 7, 8}",7,"{0, 3, 4, 5, 6, 8}",8,"{0, 5, 8}"
1,,2,,3,,4,,5,"{2,4,6,7,1,9}",6,"{3,5,8}",7,,8,
1,,2,,3,,4,,5,,6,,7,,8,
1,,2,,3,,4,,5,"{1,2,2,3,4,6,7,8,9}",6,{5},7,"{0,4,}",8,
1,,2,,3,,4,,5,"(0,1,2,3,5,8,9}",6,,7,,8,
1,2,2,3,3,4,4,5,5,7,6,3,7,5,8,3
1,,2,,3,"{2,5,7}",4,,5,"{2,3,4,5,6,7,8}",6,,7,,8,
incorrect count
"('part1', 4)","('part2', 3)","('part3', 5)","('part4', 4)","('part5', 8)","('part6', 6)","('part7', 4)","('part8', 4)"
